VueltaE,DEPARTAMENTO,PROVINCIA,DISTRITO,GREGION,votos_emitidos,n_electores_habiles,votos_nulos_blancos,PARTIDO,NVOTOS,porc_V,UBIGEO,distid,Pob_hab,Pob_rnk,IDH,IDH_rnk,EVN,EVN_rnk,pc_EDC,pc_EDC_rnk,yrs_ED,yrs_ED_rnk,IFPC,IFPC_rnk
Primera,AMAZONAS,BONGARA,FLORIDA,Selva,2823,4510,795,PERU_LIBRE,955,47.09,10306,6,8118,584,0.3593,1082,71.89,1251,38.11,1579,5.71,1145,486.7,968
Primera,AMAZONAS,BONGARA,FLORIDA,Selva,2823,4510,795,VOTOS_OTROS,681,33.58,10306,6,8118,584,0.3593,1082,71.89,1251,38.11,1579,5.71,1145,486.7,968
Primera,AMAZONAS,BONGARA,JAZAN,Selva,3845,5987,945,FUERZA_POPULAR,629,21.69,10307,7,8515,558,0.5113,454,71.69,1283,57.67,913,7.44,598,919.4,344
Primera,AMAZONAS,BONGARA,JAZAN,Selva,3845,5987,945,PERU_LIBRE,686,23.66,10307,7,8515,558,0.5113,454,71.69,1283,57.67,913,7.44,598,919.4,344
Primera,AMAZONAS,BONGARA,JAZAN,Selva,3845,5987,945,VOTOS_OTROS,1585,54.66,10307,7,8515,558,0.5113,454,71.69,1283,57.67,913,7.44,598,919.4,344
Primera,AMAZONAS,BONGARA,JUMBILLA,Selva,516,863,148,FUERZA_POPULAR,47,12.77,10301,1,1509,1431,0.4514,657,70.17,1446,42.21,1470,7.62,553,759,526
Primera,AMAZONAS,BONGARA,JUMBILLA,Selva,516,863,148,PERU_LIBRE,101,27.45,10301,1,1509,1431,0.4514,657,70.17,1446,42.21,1470,7.62,553,759,526
Primera,AMAZONAS,BONGARA,JUMBILLA,Selva,516,863,148,VOTOS_OTROS,220,59.78,10301,1,1509,1431,0.4514,657,70.17,1446,42.21,1470,7.62,553,759,526
Primera,AMAZONAS,BONGARA,RECTA,Selva,184,288,34,FUERZA_POPULAR,20,13.33,10308,8,149,1872,0.324,1301,68.94,1559,26.83,1802,5.41,1254,473.3,999
Primera,AMAZONAS,BONGARA,RECTA,Selva,184,288,34,PERU_LIBRE,22,14.67,10308,8,149,1872,0.324,1301,68.94,1559,26.83,1802,5.41,1254,473.3,999
Primera,AMAZONAS,BONGARA,RECTA,Selva,184,288,34,VOTOS_OTROS,108,72,10308,8,149,1872,0.324,1301,68.94,1559,26.83,1802,5.41,1254,473.3,999
Primera,AMAZONAS,BONGARA,SAN CARLOS,Selva,321,442,86,FUERZA_POPULAR,27,11.49,10309,9,319,1850,0.348,1145,69.18,1542,46.96,1324,5.64,1176,431.2,1090
Primera,AMAZONAS,BONGARA,SAN CARLOS,Selva,321,442,86,PERU_LIBRE,62,26.38,10309,9,319,1850,0.348,1145,69.18,1542,46.96,1324,5.64,1176,431.2,1090
Primera,AMAZONAS,BONGARA,SAN CARLOS,Selva,321,442,86,VOTOS_OTROS,146,62.13,10309,9,319,1850,0.348,1145,69.18,1542,46.96,1324,5.64,1176,431.2,1090
Primera,AMAZONAS,BONGARA,SHIPASBAMBA,Selva,905,1378,327,FUERZA_POPULAR,74,12.8,10310,10,1859,1346,0.365,1047,72.02,1225,49.33,1254,5.09,1374,487.6,963
Primera,AMAZONAS,BONGARA,SHIPASBAMBA,Selva,905,1378,327,PERU_LIBRE,205,35.47,10310,10,1859,1346,0.365,1047,72.02,1225,49.33,1254,5.09,1374,487.6,963
Primera,AMAZONAS,BONGARA,SHIPASBAMBA,Selva,905,1378,327,VOTOS_OTROS,299,51.73,10310,10,1859,1346,0.365,1047,72.02,1225,49.33,1254,5.09,1374,487.6,963
Primera,AMAZONAS,BONGARA,VALERA,Selva,605,872,158,FUERZA_POPULAR,119,26.62,10311,11,980,1607,0.4006,872,67.08,1677,46.3,1349,5,1408,734.6,558
Primera,AMAZONAS,BONGARA,VALERA,Selva,605,872,158,PERU_LIBRE,59,13.2,10311,11,980,1607,0.4006,872,67.08,1677,46.3,1349,5,1408,734.6,558
Primera,AMAZONAS,BONGARA,VALERA,Selva,605,872,158,VOTOS_OTROS,269,60.18,10311,11,980,1607,0.4006,872,67.08,1677,46.3,1349,5,1408,734.6,558
Primera,AMAZONAS,BONGARA,YAMBRASBAMBA,Selva,2658,4518,744,FUERZA_POPULAR,307,16.04,10312,12,7744,611,0.3523,1115,70.77,1402,35.15,1648,4.96,1428,540.5,861
