VueltaE,DEPARTAMENTO,PROVINCIA,DISTRITO,GREGION,votos_emitidos,n_electores_habiles,votos_nulos_blancos,PARTIDO,NVOTOS
Primera,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,Selva,372,596,122,fuerza_popular,46
Primera,AMAZONAS,LUYA,SAN JERONIMO,Selva,249,714,63,fuerza_popular,58
Primera,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,Selva,213,473,91,fuerza_popular,30
Primera,AMAZONAS,LUYA,SANTA CATALINA,Selva,663,1301,184,fuerza_popular,129
Primera,AMAZONAS,LUYA,SANTO TOMAS,Selva,1220,2588,383,fuerza_popular,156
Primera,AMAZONAS,LUYA,TINGO,Selva,722,1106,187,fuerza_popular,109
Primera,AMAZONAS,LUYA,TRITA,Selva,721,959,202,fuerza_popular,55
Primera,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,Selva,745,1764,240,fuerza_popular,84
Primera,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,Selva,452,603,108,fuerza_popular,20
Primera,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,Selva,1520,2304,517,fuerza_popular,135
Primera,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,Selva,775,1355,284,fuerza_popular,28
Primera,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,Selva,937,1365,255,fuerza_popular,51
Primera,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,Selva,1057,1532,271,fuerza_popular,81
Primera,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC,Selva,326,572,96,fuerza_popular,13
Primera,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,Selva,3608,6871,1123,fuerza_popular,261
Primera,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,Selva,2415,3802,667,fuerza_popular,142
Primera,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,Selva,326,491,90,fuerza_popular,12
Primera,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,Selva,225,407,60,fuerza_popular,14
Primera,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,Selva,865,1820,300,fuerza_popular,91
Primera,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,Selva,26209,39692,6466,fuerza_popular,3209
Primera,AMAZONAS,UTCUBAMBA,CAJARURO,Selva,13371,20583,3916,fuerza_popular,1268
Primera,AMAZONAS,UTCUBAMBA,CUMBA,Selva,4480,6568,1576,fuerza_popular,576
Primera,AMAZONAS,UTCUBAMBA,EL MILAGRO,Selva,2861,4212,1000,fuerza_popular,475
Primera,AMAZONAS,UTCUBAMBA,JAMALCA,Selva,3408,5373,1081,fuerza_popular,322
Primera,AMAZONAS,UTCUBAMBA,LONYA GRANDE,Selva,4785,7167,1396,fuerza_popular,376
Primera,AMAZONAS,UTCUBAMBA,YAMON,Selva,1428,2636,399,fuerza_popular,145
Primera,AMERICA,ANTILLAS HOLANDESAS,ARUBA,AMERICA,0,775,0,fuerza_popular,0
Primera,AMERICA,ARGENTINA,BUENOS AIRES,AMERICA,30266,105936,11100,fuerza_popular,3832
Primera,AMERICA,ARGENTINA,CORDOBA,AMERICA,6084,14500,2064,fuerza_popular,871
Primera,AMERICA,ARGENTINA,CORRIENTES,AMERICA,47,228,15,fuerza_popular,7
Primera,AMERICA,ARGENTINA,LA PLATA,AMERICA,5378,12431,2432,fuerza_popular,529
Primera,AMERICA,ARGENTINA,MENDOZA,AMERICA,2325,5095,1068,fuerza_popular,289
Primera,AMERICA,ARGENTINA,ROSARIO DE SANTA FE,AMERICA,1783,3888,444,fuerza_popular,166
Primera,AMERICA,ARGENTINA,SALTA,AMERICA,1111,1111,1111,fuerza_popular,0
Primera,AMERICA,BOLIVIA,COCHABAMBA,AMERICA,724,1544,183,fuerza_popular,71
Primera,AMERICA,BOLIVIA,EL ALTO,AMERICA,324,670,156,fuerza_popular,16
Primera,AMERICA,BOLIVIA,LA PAZ,AMERICA,743,2022,241,fuerza_popular,55
Primera,AMERICA,BOLIVIA,SANTA CRUZ,AMERICA,1513,3184,528,fuerza_popular,166
Primera,AMERICA,BRASIL,BELO HORIZONTE,AMERICA,120,553,9,fuerza_popular,9
Primera,AMERICA,BRASIL,BRASILIA,AMERICA,190,547,31,fuerza_popular,7
Primera,AMERICA,BRASIL,CURITIBA,AMERICA,148,563,92,fuerza_popular,4
Primera,AMERICA,BRASIL,FORTALEZA,AMERICA,24,120,3,fuerza_popular,1
Primera,AMERICA,BRASIL,GOIAS,AMERICA,73,282,17,fuerza_popular,4
Primera,AMERICA,BRASIL,MANAOS,AMERICA,633,2035,183,fuerza_popular,104
Primera,AMERICA,BRASIL,PORTO ALEGRE,AMERICA,318,754,269,fuerza_popular,10
Primera,AMERICA,BRASIL,RIO BRANCO,AMERICA,101,628,17,fuerza_popular,26
Primera,AMERICA,BRASIL,RIO DE JANEIRO,AMERICA,663,2451,126,fuerza_popular,41
Primera,AMERICA,BRASIL,SALVADOR,AMERICA,56,434,7,fuerza_popular,3
Primera,AMERICA,BRASIL,SAO PAULO,AMERICA,2617,7974,1080,fuerza_popular,130
Primera,AMERICA,CANADA,ALBERTA,AMERICA,213,849,12,fuerza_popular,9
Primera,AMERICA,CANADA,MANITOBA,AMERICA,57,170,4,fuerza_popular,1
Primera,AMERICA,CANADA,MONTREAL,AMERICA,1737,9620,736,fuerza_popular,79
Primera,AMERICA,CANADA,OTTAWA,AMERICA,254,795,33,fuerza_popular,20
Primera,AMERICA,CANADA,TORONTO,AMERICA,1510,6013,434,fuerza_popular,78
Primera,AMERICA,CANADA,VANCOUVER,AMERICA,517,1824,43,fuerza_popular,21
Primera,AMERICA,CHILE,ANTOFAGASTA,AMERICA,0,3846,0,fuerza_popular,0
Primera,AMERICA,CHILE,ARICA,AMERICA,0,3142,0,fuerza_popular,0
Primera,AMERICA,CHILE,CONCEPCION,AMERICA,0,846,0,fuerza_popular,0
Primera,AMERICA,CHILE,COPIAPO,AMERICA,0,581,0,fuerza_popular,0
Primera,AMERICA,CHILE,IQUIQUE,AMERICA,0,8625,0,fuerza_popular,0
Primera,AMERICA,CHILE,SANTIAGO,AMERICA,0,100100,0,fuerza_popular,0
Primera,AMERICA,COLOMBIA,BARRANQUILLA,AMERICA,34,114,8,fuerza_popular,3
Primera,AMERICA,COLOMBIA,BOGOTA,AMERICA,882,2279,143,fuerza_popular,130
Primera,AMERICA,COLOMBIA,CALI,AMERICA,203,537,40,fuerza_popular,28
Primera,AMERICA,COLOMBIA,CARTAGENA,AMERICA,23,68,6,fuerza_popular,1
Primera,AMERICA,COLOMBIA,LETICIA,AMERICA,397,1114,158,fuerza_popular,112
Primera,AMERICA,COLOMBIA,MEDELLIN,AMERICA,215,621,40,fuerza_popular,19
Primera,AMERICA,COSTA RICA,SAN JOSE,AMERICA,1237,2871,254,fuerza_popular,99
Primera,AMERICA,CUBA,LA HABANA,AMERICA,34,175,7,fuerza_popular,0
Primera,AMERICA,ECUADOR,AZUAY (CUENCA),AMERICA,397,715,151,fuerza_popular,44
Primera,AMERICA,ECUADOR,GUAYAQUIL,AMERICA,768,1818,203,fuerza_popular,117
Primera,AMERICA,ECUADOR,LOJA,AMERICA,248,532,122,fuerza_popular,28
Primera,AMERICA,ECUADOR,MACHALA,AMERICA,220,417,133,fuerza_popular,39
Primera,AMERICA,ECUADOR,QUITO,AMERICA,793,1867,237,fuerza_popular,93
